min_support:10
Frequent Pattern,Support
"{'Medialuna', 'Alfajores'}",30
"{'Coffee', 'Tartine'}",29
"{'Bakewell', 'Coffee'}",29
"{'Cake', 'Jammie Dodgers'}",29
"{'Truffles', 'Tea'}",29
"{'Hot chocolate', 'Toast'}",29
"{'Juice', 'Alfajores'}",29
"{'Coffee', 'Alfajores', 'Tea'}",29
"{'Medialuna', 'Hot chocolate', 'Coffee'}",29
{'Eggs'},28
{'Granola'},28
"{'Coffee', 'Baguette'}",28
"{'Hot chocolate', 'Scone'}",28
"{'Coffee', 'Juice', 'Bread'}",28
"{'Cookies', 'Pastry'}",28
"{'Cake', 'Coffee', 'Scone'}",27
"{'Alfajores', 'Brownie'}",27
"{'Coffee', 'Tea', 'Muffin'}",27
"{'Sandwich', 'Cookies'}",27
"{'Art Tray', 'Coffee'}",26
"{'Bread', 'Chicken Stew'}",26
"{'Bread', 'Baguette'}",26
"{'Spanish Brunch', 'Juice'}",26
"{'Coffee', 'Soup', 'Tea'}",26
"{'Juice', 'Muffin'}",26
"{'Sandwich', 'Juice', 'Coffee'}",26
"{'Farm House', 'Pastry'}",26
"{'Sandwich', 'Tea', 'Bread'}",26
"{'Coffee', 'Pastry', 'Cake'}",26
"{'Bread', 'Frittata'}",25
"{'Hearty & Seasonal', 'Bread'}",25
"{'Cake', 'Truffles'}",25
"{'Sandwich', 'Alfajores'}",25
"{'Tea', 'Jammie Dodgers'}",24
"{'Fudge', 'Jam'}",24
"{'Pastry', 'Muffin'}",24
"{'Juice', 'Brownie'}",24
"{'Cookies', 'Brownie'}",24
"{'Medialuna', 'Cookies'}",24
"{'Sandwich', 'Hot chocolate', 'Coffee'}",24
"{'Medialuna', 'Coffee', 'Cake'}",24
"{'Bread', 'Smoothies'}",23
"{'Spanish Brunch', 'Bread', 'Coffee'}",23
"{'Coffee', 'Soup', 'Cake'}",23
"{'Pastry', 'Scone'}",23
"{'Cookies', 'Alfajores'}",23
"{'Coffee', 'Bread', 'Muffin'}",23
"{'Pastry', 'Brownie'}",23
"{'Hot chocolate', 'Coffee', 'Brownie'}",23
"{'Medialuna', 'Pastry', 'Bread'}",23
"{'Pastry', 'Tea', 'Bread'}",23
"{'Cake', 'Tiffin'}",22
"{'Coffee', 'Bread', 'Tiffin'}",22
"{'Spanish Brunch', 'Cake'}",22
"{'Juice', 'Toast'}",22
"{'Cake', 'Coffee', 'Alfajores'}",22
"{'Coffee', 'Cake', 'Muffin'}",22
"{'Juice', 'Pastry'}",22
